Year,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,Budget,DomesticGross,InternationalGross,WorldwideGross,NetProfits,roi
2010,Toy Story 3,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000,415004880,653874642,1068879522,868879522,4.0
2010,Alice in Wonderland,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,200000000,334191110,691300000,1025491110,825491110,4.0
2010,Iron Man 2,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,170000000,312433331,308723058,621156389,451156389,3.0
2010,The Twilight Saga: Eclipse,Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,68000000,300531751,405571077,706102828,638102828,9.0
2010,Harry Potter and the Deathly Hallows:…,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,125000000,296131568,664297789,960429357,835429357,7.0
2010,Inception,Warner Bros.,Thriller/Suspense,Original Screenplay,Animation/Live Action,Science Fiction,160000000,292576195,539975766,832551961,672551961,4.0
2010,Despicable Me,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,69000000,251513985,291950588,543464573,474464573,7.0
2010,Shrek Forever After,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,165000000,238736787,517507886,756244673,591244673,4.0
2010,How to Train Your Dragon,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Fantasy,165000000,217581232,277289760,494870992,329870992,2.0
2010,Tangled,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,260000000,200821936,384905155,585727091,325727091,1.0
2010,The Karate Kid,Sony Pictures,Adventure,Remake,Live Action,Contemporary Fiction,40000000,176591618,175183320,351774938,311774938,8.0
2010,Tron: Legacy,Walt Disney,Adventure,Original Screenplay,Live Action,Science Fiction,200000000,172062763,228000000,400062763,200062763,1.0
2010,True Grit,Paramount Pictures,Western,Based on Fiction Book/Short Story,Live Action,Historical Fiction,35000000,171243005,81033923,252276928,217276928,6.0
2010,Clash of the Titans,Warner Bros.,Action,Remake,Live Action,Fantasy,125000000,163214888,330000000,493214888,368214888,3.0
2010,Grown Ups,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,75000000,162001186,110222244,272223430,197223430,3.0
2010,Little Fockers,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,100000000,148438600,162211974,310650574,210650574,2.0
2010,Megamind,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,130000000,148415853,173471355,321887208,191887208,1.0
2010,The King’s Speech,Weinstein Co.,Drama,Original Screenplay,Live Action,Dramatization,15000000,138797449,292023719,430821168,415821168,28.0
2010,The Last Airbender,Paramount Pictures,Adventure,Based on TV,Live Action,Fantasy,150000000,131772187,187941694,319713881,169713881,1.0
2010,Shutter Island,Paramount Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Historical Fiction,80000000,128012934,171448848,299461782,219461782,3.0
2010,The Other Guys,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,100000000,119219978,51716492,170936470,70936470,1.0
2010,Salt,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,130000000,118311368,172339126,290650494,160650494,1.0
2010,Jackass 3D,Paramount Pictures,Comedy,Based on TV,Live Action,Factual,20000000,117229692,54456101,171685793,151685793,8.0
2010,Valentine's Day,Warner Bros.,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,52000000,110485654,107083674,217569328,165569328,3.0
2010,Black Swan,Fox Searchlight,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,13000000,106954678,224312032,331266710,318266710,24.0
2010,Robin Hood,Universal,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction,210000000,105487148,216971858,322459006,112459006,1.0
2010,The Chronicles of Narnia: The Voyage …,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,155000000,104386950,313800000,418186950,263186950,2.0
2010,The Expendables,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,82000000,103068524,165199650,268268174,186268174,2.0
2010,Due Date,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,65000000,100539043,111200000,211739043,146739043,2.0
2010,Yogi Bear,Warner Bros.,Adventure,Based on TV,Animation/Live Action,Kids Fiction,80000000,100246011,104528679,204774690,124774690,2.0
2010,Date Night,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,55000000,98711404,53557629,152269033,97269033,2.0
2010,The Social Network,Sony Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,40000000,96962694,127959441,224922135,184922135,5.0
2010,Sex and the City 2,Warner Bros.,Comedy,Based on TV,Live Action,Contemporary Fiction,95000000,95347692,199333086,294680778,199680778,2.0
2010,The Book of Eli,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,80000000,94835059,63915758,158750817,78750817,1.0
2010,The Fighter,Paramount Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,11000000,93617009,35645379,129262388,118262388,11.0
2010,The Town,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,37000000,92186262,60380619,152566881,115566881,3.0
2010,Prince of Persia: Sands of Time,Walt Disney,Action,Based on Game,Live Action,Fantasy,200000000,90759676,245600000,336359676,136359676,1.0
2010,Red,Summit Entertainment,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,60000000,90380162,106059531,196439693,136439693,2.0
2010,Percy Jackson & the Olympians: The Li…,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,95000000,88768303,134282571,223050874,128050874,1.0
2010,Paranormal Activity 2,Paramount Pictures,Horror,Original Screenplay,Live Action,Fantasy,3000000,84752907,92759125,177512032,174512032,58.0
2010,Unstoppable,20th Century Fox,Action,Based on Real Life Events,Live Action,Dramatization,95000000,81562942,84157979,165720921,70720921,1.0
2010,Eat Pray Love,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,60000000,80574010,126024779,206598789,146598789,2.0
2010,Dear John,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,25000000,80014842,62018667,142033509,117033509,5.0
2010,The A-Team,20th Century Fox,Action,Based on TV,Live Action,Contemporary Fiction,110000000,77222099,100019072,177241171,67241171,1.0
2010,Knight and Day,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,117000000,76423035,182328335,258751370,141751370,1.0
2010,Dinner for Schmucks,Paramount Pictures,Comedy,Remake,Live Action,Contemporary Fiction,69000000,73026337,13770165,86796502,17796502,0.0
2010,The Tourist,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,100000000,67631157,211100212,278731369,178731369,2.0
2010,The Bounty Hunter,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,45000000,67061228,68747609,135808837,90808837,2.0
2010,Diary of a Wimpy Kid,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,15000000,64003625,12950686,76954311,61954311,4.0
2010,The Sorcerer's Apprentice,Walt Disney,Adventure,Based on Short Film,Animation/Live Action,Fantasy,160000000,63150991,154835329,217986320,57986320,0.0
2010,A Nightmare on Elm Street,Warner Bros.,Horror,Remake,Live Action,Fantasy,35000000,63075011,54654610,117729621,82729621,2.0
2010,The Last Song,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000,62950384,29728564,92678948,72678948,4.0
2010,The Wolfman,Universal,Horror,Remake,Live Action,Fantasy,150000000,62189884,80444474,142634358,-7365642,-0.0
2010,Get Him to the Greek,Universal,Comedy,Spin-Off,Live Action,Contemporary Fiction,40000000,61153526,31841401,92994927,52994927,1.0
2010,Resident Evil: Afterlife,Sony Pictures,Horror,Based on Game,Live Action,Science Fiction,57500000,60128566,235745624,295874190,238374190,4.0
2010,Why Did I Get Married Too?,Lionsgate,Drama,Based on Play,Live Action,Contemporary Fiction,20000000,60095852,735215,60831067,40831067,2.0
2010,Tooth Fairy,20th Century Fox,Adventure,Original Screenplay,Live Action,Fantasy,48000000,60022256,52588130,112610386,64610386,1.0
2010,Secretariat,Walt Disney,Drama,Based on Real Life Events,Live Action,Dramatization,35000000,59699513,676734,60376247,25376247,1.0
2010,Easy A,Sony Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,8000000,58401464,17799257,76200721,68200721,9.0
2010,Takers,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,32000000,57744720,12842548,70587268,38587268,1.0
2010,Legend of the Guardians: The Owls of …,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,100000000,55675313,84041404,139716717,39716717,0.0
